ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
45, Kanban Board Plugin for Joplin ,"I propose creating a plugin for Joplin, which allows notes in a notebook to be organized in a kanban board. The board itself is a special type of...", mablin ," Mentor  Roman Musin, Laurent Cozic ", Organization  Joplin ,/archive/2021/projects/4917801914990592,https://gist.github.com/mablin7/f59f900b4f494c4a6dcca9a2be651781,Yes,Yes,"I propose creating a plugin for Joplin, which allows notes in a notebook to be organized in a kanban board. The board itself is a special type of note, which, when opened will show the kanban interface in a new panel. On the board each item is a note and each column is a tag or some other property of the notes. Dragging notes between columns updates their properties automatically. On mobile and on clients which don't have the plugin installed, the board note simply shows as a static markdown table, so that tasks can still be viewed.
This proposal draws from the discussion in this GitHub issue and this forum thread, especially uxamanda 's designs and ideas. Big thanks!",[],[]
46, Yeming Gu's GSoC proposal for CHAOSS ,My project aims to define a new similarity measure metric based on social coding semantics underlying the open source trace data to enrich the..., Yeming Gu ," Mentor  Sean Goggins, Vinod Ahuja ", Organization  CHAOSS Project ,/archive/2021/projects/4918176382451712,https://medium.com/@yeminggood/gsoc2021-final-report-7feedac481e0,No,No,My project aims to define a new similarity measure metric based on social coding semantics underlying the open source trace data to enrich the ability of Augur. The heterogeneous information network schema and network embedding techniques are introduced to capture the latent similarity information between repositories. This project will end up with some new computational models to transform those information into computable representation vectors with respect to every repository.,[],[]
47, Android Support for ENIGMA ,"This project aims to fix the issues regarding the Android platform that includes fixing the shader, adding a new audio system and the addition of ...", Abhishek Kumar Jha ," Mentor  Greg Williamson, Josh ", Organization  The ENIGMA Team ,/archive/2021/projects/4918214366068736,https://github.com/enigma-dev/enigma-dev/pull/2261,No,Yes,"This project aims to fix the issues regarding the Android platform that includes fixing the shader, adding a new audio system and the addition of  tilt for a smooth gaming experience on Android Devices.","['/login?return_to=https%3A%2F%2Fgithub.com%2Fenigma-dev%2Fenigma-dev%2Fpull%2F2261', '/login?return_to=https%3A%2F%2Fgithub.com%2Fenigma-dev%2Fenigma-dev%2Fpull%2F2261', 'https://github.com/enigma-dev/enigma-dev/pull/2224/commits/b83ecb7967a9af9e49d605c85f13b9b8debddbae', 'https://github.com/enigma-dev/enigma-dev/pull/2224', 'https://github.com/enigma-dev/enigma-dev/pull/2230', 'https://github.com/enigma-dev/enigma-dev/pull/2242', 'https://github.com/enigma-dev/enigma-dev/pull/2245', 'https://github.com/enigma-dev/enigma-dev/pull/2260', 'https://github.com/diabl0-NEMESIS/enigma-dev/pull/1', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0F1ZGlvX1N5c3RlbXMvT3BlbkFML0FMYmFzaWMuY3Bw', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0dyYXBoaWNzX1N5c3RlbXMvR2VuZXJhbC9HU21vZGVsLmNwcA==', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0dyYXBoaWNzX1N5c3RlbXMvT3BlbkdMLUNvbW1vbi9zY2lzc29yLmNwcA==', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0dyYXBoaWNzX1N5c3RlbXMvT3BlbkdMLUNvbW1vbi9zY3JlZW4uY3Bw', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0dyYXBoaWNzX1N5c3RlbXMvT3BlbkdMLUNvbW1vbi9zdXJmYWNlLmNwcA==', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0dyYXBoaWNzX1N5c3RlbXMvT3BlbkdMLUNvbW1vbi90ZXh0dXJlcy5jcHA=', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML0dyYXBoaWNzX1N5c3RlbXMvT3BlbkdMLUNvbW1vbi90ZXh0dXJlc19pbXBsLmg=', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML1BsYXRmb3Jtcy9HZW5lcmFsL1BGbWFpbi5jcHA=', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML1BsYXRmb3Jtcy9TREwvRXZlbnQuY3Bw', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev#diff-RU5JR01Bc3lzdGVtL1NIRUxML1NIRUxMbWFpbi5jcHA=', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261/diff?src=pr&el=tree-more&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://codecov.io/gh/enigma-dev/enigma-dev/pull/2261?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=enigma-dev', 'https://github.com/enigma-dev/enigma-dev/pull/2261#event-5223614144', '/login?return_to=https%3A%2F%2Fgithub.com%2Fenigma-dev%2Fenigma-dev%2Fpull%2F2261', 'https://github.com/enigma-dev/enigma-dev/pull/2261']",['https://github.com/enigma-dev/enigma-dev/issues/1880']
48, Apache James - Implement Thread support for JMAP ,"JMAP is an email application protocol to modernise IMAP, on top of HTTP using a JSON format. JMAP is designed to make efficient use of limited...", Hồng Quân Trần ," Mentor  Rene Cordier, Benoit Tellier ", Organization  The Apache Software Foundation ,/archive/2021/projects/4918420021182464,https://gist.github.com/quantranhong1999/8147f52a1b17f0461a9f1f27fc8b5303,Yes,Yes,"JMAP is an email application protocol to modernise IMAP, on top of HTTP using a JSON format. JMAP is designed to make efficient use of limited network resources and to be horizontally scalable to a very large number of users. Apache James is one of the first implementations of this new standard.
Mail user agents generally allow displaying emails grouped by conversations (replies, forward, etc...). As a part of JMAP RFC-8621 implementation (https://tools.ietf.org/html/rfc8621#page-20), there are dedicated concepts: threads.  JMAP Threads is already implemented In Apache James in a rather naive way: each email is a thread of its own. This naive implementation is specification compliant but defeats the overall purposes of threads: emails which related to a topic should belong to a thread.
James’s data models, storage APIs, and some JMAP methods at HTTP level need to be changed to make sure the purpose of the thread is reached.","['https://github.com/apache/james-project/pull/446', 'https://github.com/apache/james-project/pull/458', 'https://github.com/apache/james-project/pull/460', 'https://github.com/apache/james-project/pull/481', 'https://github.com/apache/james-project/pull/504', 'https://github.com/apache/james-project/pull/514', 'https://github.com/apache/james-project/pull/515', 'https://github.com/apache/james-project/pull/529', 'https://github.com/apache/james-project/pull/534', 'https://github.com/apache/james-project/pull/539', 'https://github.com/apache/james-project/pull/547', 'https://github.com/apache/james-project/pull/550', 'https://github.com/apache/james-project/pull/560', 'https://github.com/apache/james-project/pull/554']",[]
49, Implementing Linux support in Drakvuf-Sandbox ,Drakvuf-sandbox is a malware analysis tool that is used to analyze the behavior of the malware in a contained environment. It uses the Drakvuf engine..., Manorit Chawdhry ," Mentor  K. Cieśliński (CERT.PL), M. Leszczyński (CERT.PL) ", Organization  The Honeynet Project ,/archive/2021/projects/4918761135538176,https://www.cert.pl/en/posts/2021/08/gsoc-linux-injector/,Yes,No,"Drakvuf-sandbox is a malware analysis tool that is used to analyze the behavior of the malware in a contained environment. It uses the Drakvuf engine as its backend for interacting with the malware and abstracts a lot of stuff out making analyzing malware easy and user-friendly.
Currently, Drakvuf-Sandbox only supports Windows-based Malware Analysis. The upstream Drakvuf also lacks the proper Linux support. Therefore, this proposal focuses on implementing the support for Linux-based malware analysis.",[],[]
50, Tensorflow Proposal ,"As everyone knows, TensorFlow is the best open source platform for Deep Learning. Instead of focusing on basics like alternatives which lag behind...", Aleyna Kara ," Mentor  Kevin Murphy, Mahmoud Soliman ", Organization  TensorFlow ,/archive/2021/projects/4920456607432704,https://medium.com/@aleynakara98/google-summer-of-code-2021-a-probabilistic-perspective-9cc5a03ec91e,No,No,"As everyone knows, TensorFlow is the best open source platform for Deep Learning. Instead of focusing on basics like alternatives which lag behind TensorFlow on visualization capabilities, documentation and not only datasets but also models, TensorFlow engineers develop the next-generation technologies. It is acceptable to say that TensorFlow shapes today’s technology. Therefore,  I am eager to work on projects offered by TensorFlow in order to enrich mine in open-source software development by learning from the best and to apply my knowledge into TensorFlow which is the last word in machine learning libraries.",[],[]
1, Uncovering the Enigma of Type-Ia Supernovae: Thermonuclear Supernova Classification via their Nuclear Signatures ,"Fundamental questions about Thermonuclear Supernovae (Type-Ia or SNeIa), the beacons visible across the universe, remain unanswered. Using the...", Sophia He ," Mentor  James Mastandrea, Patrick Peplowski, Richard S. Miller, Sergei Gleyzer ", Organization  Machine Learning for Science (ML4SCI) Umbrella Organization ,/archive/2021/projects/5167133490675712,https://github.com/ML4SCI/LOX/tree/main/Thermonuclear_Supernova_Classification_Sophia_He,No,Yes,"Fundamental questions about Thermonuclear Supernovae (Type-Ia or SNeIa), the beacons visible across the universe, remain unanswered. Using the currently-available extensive library of detailed supernova simulation data, I aim to identify machine learning and computational techniques suitable for this project, produce a cluster-predict model that identifies cluster classes based on observable parameters, characterize the degree of confidence of the model, and ultimately establish classification metrics for Type-Ia supernovae to prepare for future nuclear astrophysics investigations, advancing our understanding of these beacons of the cosmos.",[],[]
2, Proposal for GSoC 2021 IIO Driver: ADXL313 ,The main goal of this project is to develop an IIO driver from scratch for the ADXL313 device and have it on Linux kernel tree. The driver will be..., Lucas Stankus ," Mentor  Dragos Bogdan, Darius Berghe ", Organization  The Linux Foundation ,/archive/2021/projects/5167901249634304,https://docs.google.com/document/d/1fCNo8em2Xp6eb9cWtSN84HjliHcOI1GIFvankmUCy5w/edit?usp=sharing,No,Yes,"The main goal of this project is to develop an IIO driver from scratch for the ADXL313 device and have it on Linux kernel tree. The driver will be developed in small incremental steps, gathering feedback from the mentors and community in each of them to ensure high quality code. A secondary goal of the project is to log the development process and post about the IIO/GSoC experience, hopefully motivating newcomers to get involved with Linux kernel development, specifically in the IIO subsystem.",[],[]
3, Integrating 3D scene builder as WPS services within MapMint administration User Interface ,"At present  the user can only visualize the 2D datasets and can even generate one of them. So, my major approach in this project would be to create...", Sandeep Saurav ," Mentor  Gérald Fenoy, Sittichai Choosumrong, Rajat Shinde, Venkatesh Raghavan, Samuel Souk aloun ", Organization  OSGeo - Open Source Geospatial Foundation ,/archive/2021/projects/5168188542681088,https://github.com/Sandeep10021/mapmint/wiki/Final-Report:-GSoC-2021,No,No,"At present  the user can only visualize the 2D datasets and can even generate one of them. So, my major approach in this project would be to create an user interface as WPS service within MapMint such that the user cannot only visualize the 3D dataset but can also build the same. This can be done either through either simply  capturing via camera or importing drone captured images. Further I am planning to integrate the various functionality as a toolbox to process the 3D datasets and 2D datasets as well. 
If time permits the various additional functionality such as enhancement, smoothing, sharpening, brightness control will also be implemented.",[],[]
4, Port of AGM from Python 2 to Python 3 ,AGM (Active Grammar-based Modeling) is a Project with the objective of proposing a detailed description of how the software modules of the robots can..., Fernando Martin ," Mentor  Luis J. Manso, Pedro Núñez, Rishi Gondkar ", Organization  RoboComp ,/archive/2021/projects/5168969689858048,https://docs.google.com/document/d/1mqUB373x1gFD2RtUp0wUqp7JwJnOpD3xQP4l9MixEos/edit?usp=sharing,No,Yes,"AGM (Active Grammar-based Modeling) is a Project with the objective of proposing a detailed description of how the software modules of the robots can interact with each other, and a world model structure. AGM was designed on Python2, and now Robolab, the organization to which I am proposing this project, wants to port it to Python 3. These would be the main objective of this project, to port AGM from Python 2 to Python 3.
This objective requires two very different parts:
The first part is the port from Python 2 to Python 3 in itself. This means the changing of the code to adapt AGM to the new version of Python. However, this alone is not enough.
The second part is testing. Tests are required to check if the program is working as it is supposed to work. On programs like these, it is very important to run tests to assure that each part is ported correctly. If tests are not run, there is a risk that certain parts of the code not commonly used do not work correctly or return errors. In short, the objective of this part of the project is to effectively test the program to assure that the port is working correctly. Coverage is a part of this process too, so we also need to do it.",[],[]
5, Web App UI Cleanup ,"This project aims to improve the overall usability of the Purr Data Web Application to make it more intuitive to use, improve its stability by fixing...", Prakhar Agarwal , Mentor  Zack Lee , Organization  Purr Data ,/archive/2021/projects/5169147863891968,https://github.com/Prakhar-Agarwal-byte/purr-data,No,No,"This project aims to improve the overall usability of the Purr Data Web Application to make it more intuitive to use, improve its stability by fixing many bugs and also improve the UI to better fit the web app.
Purr Data a.k.a. Pd-l2ork 2 is an improved version of Miller Puckette’s Pd.
Pd (Pure Data) is a graphical data-flow programming environment which is geared towards real-time interactive computer music and multimedia applications. It is a full-featured open-source alternative to its commercial sibling, Cycling74’s Max.
Purr Data serves the same purpose, but offers a new and much improved graphical user interface and includes many 3rd party plug-ins. Like Pd, it runs on Linux, macOS, and Windows, and is open-source throughout.
The goal of this project is to make the Purr Data Web App more usable, stable, and reliable.",[],[]
6, App: Bad-Words Filter ,Proposal for App: Bad-Words Filter. Rocket.Chat is Teams collaboration platform where people from different parts of world come together and..., Yash Rajpal ," Mentor  Marcelo Schmidt, Douglas Gubert ", Organization  Rocket.Chat ,/archive/2021/projects/5169695136677888,https://github.com/yash-rajpal/google-summer-of-code-2021,No,No,Proposal for App: Bad-Words Filter. Rocket.Chat is Teams collaboration platform where people from different parts of world come together and collaborate. Some people can be toxic at times and can use harsh words against fellow members. This app can be helpful for Rocket.Chat platform for filtering bad-words.,"['https://github.com/RocketChat/Apps.BadWords/pull/1', 'https://github.com/RocketChat/Rocket.Chat/pulls?q=is%3Apr+author%3Ayash-rajpal', 'https://github.com/RocketChat/Rocket.Chat.ReactNative/pulls?q=is%3Apr+author%3Ayash-rajpal+', 'https://github.com/RocketChat/Opensource-Contribution-Leaderboard/pulls?q=is%3Apr+author%3Ayash-rajpal']",[]
7, Improving Google Search Result On Buddhist Entities. ,The Buddhist Digital Resource Center has a well-maintained database. The entities present on Wikidata often lack a label in Tibetan language. By..., Paritosh Singh ," Mentor  Rui Jiang, Elie Roux, Elan Hourticolon-Retzler ", Organization  Project WikiLoop ,/archive/2021/projects/5169726979833856,https://medium.com/@paritoshsingh1612/improving-google-search-result-on-buddhist-entities-cbf9d1aa7e0b,No,No,"The Buddhist Digital Resource Center has a well-maintained database. The entities present on Wikidata often lack a label in Tibetan language. By adding a Tibetan label during the import we can dramatically improve the usability of both Google and Wikidata for Tibetan natives and community. The project will focus on various aspects of data engineering to provide the best solution to help the Tibetan community.
Wikidata has proved to be the most efficient open source of knowledge having structured data which is extracted directly by google and affects the google search result directly. Knowledge Graphs pull in data from a variety of sources such as Wikidata. This data is used to understand user search intent and to answer search queries. The project will focus on importing data of places and persons from BDRC database, as well as the addition of new data on existing Wikidata records from BDRC. All the shortcomings present in the database will be dealt with and improved.
Upon successful completion of this project: The Tibetan community members will be able to get better search results. The labels added will result in efficient use of Wikidata for the members of the community.",[],[]
8, Mesh Decimation using Probabilistic Quadrics ,CGAL currently supports the decimation of triangular meshes using two distinct strategies: Lindstrom-Turk and Garland-Heckbert. These strategies..., Julian Komaromy , Mentor  Mael ROUXEL-LABBE , Organization  CGAL Project ,/archive/2021/projects/5170196842545152,https://github.com/CGAL/cgal/issues/5926,No,No,"CGAL currently supports the decimation of triangular meshes using two distinct strategies: Lindstrom-Turk and Garland-Heckbert. These strategies assign a cost to each edge collapse so that edges can be iteratively collapsed in order of least cost until a condition is met.
Our focus is on the latter of the two strategies, which uses quadrics at each vertex to calculate a cost. The paper Fast and Robust QEF Minimization using Probabilistic Quadrics explores the use of probabilistic - as opposed to classic - quadrics and shows that in many use cases, including but not limited to mesh decimation, probabilistic quadrics give better results, are more robust and about as efficient as classical quadrics.
The aim of this project is to introduce support for probabilistic quadrics in the context of mesh decimation in CGAL, which would improve the library's capability to quickly generate highly desirable mesh simplifications.","['https://github.com/juliankom/cgal/pull/1', 'https://github.com/CGAL/cgal/pull/6190']","['/login?return_to=https%3A%2F%2Fgithub.com%2FCGAL%2Fcgal%2Fissues%2F5926', '/login?return_to=https%3A%2F%2Fgithub.com%2FCGAL%2Fcgal%2Fissues%2F5926', '/login?return_to=https://github.com/CGAL/cgal/issues/5926', '/login?return_to=https://github.com/CGAL/cgal/issues/5926', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc%22', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc-2021%22', 'https://github.com/CGAL/cgal/issues/5926#issue-976796030', 'https://github.com/CGAL/cgal/issues/5926#event-5193955301', 'https://github.com/CGAL/cgal/issues/5926#event-5193959131', 'https://github.com/CGAL/cgal/issues/5926#event-1153741909', '/signup?return_to=https://github.com/CGAL/cgal/issues/5926', '/login?return_to=https://github.com/CGAL/cgal/issues/5926', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc%22', 'https://github.com/CGAL/cgal/issues?q=state%3Aopen%20label%3A%22gsoc-2021%22', 'https://github.com/CGAL/cgal/issues/5926']"
9, dart-casbin ,"A dart version of casbin to support access models like ACL, RBAC, ABAC and others.", Mohit Singh ," Mentor  Tomás Arias, Yang Luo, Santhoshivan Amudhan ", Organization  Casbin ,/archive/2021/projects/5171373999128576,https://gist.github.com/MrUnfunny/386b2f5d1cac666f7e47b46db98c3dc6,No,Yes,"A dart version of casbin to support access models like ACL, RBAC, ABAC and others.","['https://github.com/casbin/dart-casbin/pull/9', 'https://github.com/casbin/dart-casbin/pull/10', 'https://github.com/casbin/dart-casbin/pull/12', 'https://github.com/casbin/dart-casbin/pull/15', 'https://github.com/casbin/dart-casbin/pull/20', 'https://github.com/casbin/dart-casbin/pull/21', 'https://github.com/casbin/dart-casbin/pull/22', 'https://github.com/casbin/dart-casbin/pull/23', 'https://github.com/casbin/dart-casbin/pull/26', 'https://github.com/casbin/dart-casbin/pull/28', 'https://github.com/casbin/dart-casbin/pull/29', 'https://github.com/casbin/dart-casbin/pull/30', 'https://github.com/casbin/dart-casbin/pull/31', 'https://github.com/casbin/dart-casbin/pull/32', 'https://github.com/casbin/dart-casbin/pull/33', 'https://github.com/casbin/dart-casbin/pull/35', 'https://github.com/casbin/dart-casbin/pull/37', 'https://github.com/casbin/dart-casbin/pull/38', 'https://github.com/casbin/dart-casbin/pull/39', 'https://github.com/casbin/dart-casbin/pull/41', 'https://github.com/casbin/dart-casbin/pull/43', 'https://github.com/casbin/dart-casbin/pull/44', 'https://github.com/casbin/dart-casbin/pull/46', 'https://github.com/casbin/dart-casbin/pull/47', 'https://github.com/casbin/dart-casbin/pull/47']",[]
10, Static Analysis Checks + Improvements ,One key part in ensuring a development team reaches optimal efficiency is by ensuring there are reasonable checks in place to avoid regressing..., Sparsh Agrawal ," Mentor  BenHenning, Akshay Nandwana ", Organization  Oppia Foundation ,/archive/2021/projects/5172098204434432,https://medium.com/@sparshagrawal1212/google-summer-of-code-2021-oppia-8a7011828f26,No,No,"One key part in ensuring a development team reaches optimal efficiency is by ensuring there are reasonable checks in place to avoid regressing previous fixes, reducing trivial verification during code reviews, and ensuring that team members are utilizing best practices. Oppia-Android already has the static analysis tools present, but there are still numerous essential static analysis checks which the project currently lacks. The default behavior of these linting tools is not enough to meet all the best practices. This project aims to add all those essential static analysis checks which the project currently lacks so that the development team reaches optimal efficiency",[],[]
11, Adding Tibetan Calendar in Unicode Common Locale Data Repository (CLDR) and International Components for Unicode (ICU) library ,The goal of the project is to create some code for International Components for Unicode (ICU) Librariary that compute dates in Tibetan calendar and..., Ashish Patel , Mentor  Elie Roux , Organization  Project WikiLoop ,/archive/2021/projects/5173060042227712,https://gist.github.com/dyrroth-11/935ce9af224d545cd3b1adb87a1795e0,Yes,Yes,"The goal of the project is to create some code for International Components for Unicode (ICU) Librariary that compute dates in Tibetan calendar and also to create a new locale and add some metadata to Unicode Common Locale Data Repository(CLDR) to ensure that CLDR can represent the Tibetan calendars and dates.
During the course of the project our primary focus was on two widespread types of Tibetan calendar calculations, Phugpa and Tsurphu.","['https://github.com/unicode-org/icu/pull/1793', 'https://github.com/unicode-org/cldr/pull/1280']",[]
12, Improve CVE database structure and tracking of multiple reports ,"To improve triage and tracking of reports:
(A tool to append new scans to previous scan reports
A combining tool to merge different reports )
To...", Sahil ," Mentor  Terri, aph, Saurabh Khandelwal, pdxjohnny, Harmandeep ", Organization  Python Software Foundation ,/archive/2021/projects/5175096628477952,https://imsahil007.github.io/gsoc/,No,No,"To improve triage and tracking of reports:
(A tool to append new scans to previous scan reports
A combining tool to merge different reports )
To improve structure of cvedb.py
(Not reinitialize the database in case of timeout or some other problem
A way to download only the modified NVD files rather than initialising the whole database every time. This feature can be included for users who want to run scans very frequently .)",[],[]
13, Apache ShardingSphere - Proofread the Oracle DDL/TCL SQL Definitions ,ShardingSphere parser engine helps users parse a SQL to get the AST (Abstract Syntax Tree) and visit this tree to get SQLStatement (Java Object). At..., Liangda Wang ," Mentor  Zhenxu Ke, Juan Pan ", Organization  The Apache Software Foundation ,/archive/2021/projects/5176643219357696,https://github.com/apache/shardingsphere/issues/10513,No,No,"ShardingSphere parser engine helps users parse a SQL to get the AST (Abstract Syntax Tree) and visit this tree to get SQLStatement (Java Object). At present, this parser engine can handle SQLs for MySQL, PostgreSQL, SQLServer and Oracle, which means we have to understand different database dialect SQLs. This project is focused on proofreading all the TCL (Transaction Control Language) SQL definitions and all the Oracle DDL (Data Definition Language) SQL definitions except for ALTER, DROP, CREATE and TRUNCATE.","['https://github.com/apache/shardingsphere/pull/10514', 'https://github.com/apache/shardingsphere/pull/10685', 'https://github.com/apache/shardingsphere/pull/10768', 'https://github.com/apache/shardingsphere/pull/11000', 'https://github.com/apache/shardingsphere/pull/11126', 'https://github.com/apache/shardingsphere/pull/11256', 'https://github.com/apache/shardingsphere/pull/11352', 'https://github.com/apache/shardingsphere/pull/11487', 'https://github.com/apache/shardingsphere/pull/11695', 'https://github.com/apache/shardingsphere/pull/11807', 'https://github.com/apache/shardingsphere/pull/11906', 'https://github.com/apache/shardingsphere/pull/11126', 'https://github.com/apache/shardingsphere/pull/11936', 'https://github.com/apache/shardingsphere/pull/12083']","['/login?return_to=https%3A%2F%2Fgithub.com%2Fapache%2Fshardingsphere%2Fissues%2F10513', '/login?return_to=https%3A%2F%2Fgithub.com%2Fapache%2Fshardingsphere%2Fissues%2F10513', '/login?return_to=https://github.com/apache/shardingsphere/issues/10513', '/login?return_to=https://github.com/apache/shardingsphere/issues/10513', 'https://github.com/apache/shardingsphere/issues?q=state%3Aopen%20label%3A%22db%3A%20Oracle%22', 'https://github.com/apache/shardingsphere/issues?q=state%3Aopen%20label%3A%22in%3A%20SQL%20parse%22', 'https://github.com/apache/shardingsphere/issues?q=state%3Aopen%20label%3A%22type%3A%20enhancement%22', 'https://github.com/apache/shardingsphere/issues/10513#issue-904257184', 'https://github.com/apache/shardingsphere/issues/6480', 'https://github.com/apache/shardingsphere/issues/10513#event-1116647798', 'https://github.com/apache/shardingsphere/issues/10513#event-4811695917', 'https://github.com/apache/shardingsphere/issues/10513#event-1118055893', 'https://github.com/apache/shardingsphere/issues/10513#event-1121133391', 'https://github.com/apache/shardingsphere/issues/10513#event-1122488963', 'https://github.com/apache/shardingsphere/issues/10513#event-1125743227', 'https://github.com/apache/shardingsphere/issues/10513#event-1128098475', 'https://github.com/apache/shardingsphere/issues/10513#issuecomment-901971812', 'https://github.com/apache/shardingsphere/issues/10513#event-1130200714', 'https://github.com/apache/shardingsphere/issues/10513#issuecomment-911458994', 'https://github.com/apache/shardingsphere/issues/10513#event-5246072724', 'https://github.com/apache/shardingsphere/issues/10513#issuecomment-913080768', 'https://github.com/apache/shardingsphere/issues/10513#issuecomment-913975363', 'https://github.com/apache/shardingsphere/issues/10513#event-5263276268', 'https://github.com/apache/shardingsphere/issues/10513#event-5518096839', 'https://github.com/apache/shardingsphere/issues/10513#event-1150834378', 'https://github.com/apache/shardingsphere/issues/13909', '/signup?return_to=https://github.com/apache/shardingsphere/issues/10513', '/login?return_to=https://github.com/apache/shardingsphere/issues/10513', 'https://github.com/apache/shardingsphere/issues?q=state%3Aopen%20label%3A%22db%3A%20Oracle%22', 'https://github.com/apache/shardingsphere/issues?q=state%3Aopen%20label%3A%22in%3A%20SQL%20parse%22', 'https://github.com/apache/shardingsphere/issues?q=state%3Aopen%20label%3A%22type%3A%20enhancement%22', 'https://github.com/apache/shardingsphere/issues/10513']"
